t,src,seq,t_gen
1.444644,288,1,1.444644
1.445326,207,1,1.445326
1.445657,290,1,1.445657
1.445761,54,1,1.445761
1.445900,242,1,1.445900
1.446431,115,1,1.446431
1.447432,101,1,1.447432
1.447673,367,1,1.447673
1.448291,254,1,1.448291
1.448535,49,1,1.448535
1.448639,313,1,1.448639
1.449380,247,1,1.449380
1.450051,365,1,1.450051
1.450741,107,1,1.450741
1.453086,131,1,1.453086
1.453177,175,1,1.453177
1.455497,184,1,1.455497
1.455599,311,1,1.455599
1.456996,274,1,1.456996
1.457395,144,1,1.457395
1.458364,57,1,1.458364
1.459046,327,1,1.459046
1.459766,150,1,1.459766
1.462851,203,1,1.462851
1.463440,33,1,1.463440
1.464109,209,1,1.464109
1.465753,396,1,1.465753
1.467651,392,1,1.467651
1.468234,238,1,1.468234
1.468309,353,1,1.468309
1.468609,292,1,1.468609
1.468642,45,1,1.468642
1.468818,221,1,1.468818
1.470391,239,1,1.470391
1.472354,114,1,1.472354
1.478466,225,1,1.478466
1.479154,293,1,1.479154
1.480128,86,1,1.480128
1.483561,105,1,1.483561
1.483630,259,1,1.483630
1.484432,133,1,1.484432
1.484452,40,1,1.484452
1.485038,96,1,1.485038
1.485111,199,1,1.485111
1.486041,142,1,1.486041
1.487495,380,1,1.487495
1.487712,384,1,1.487712
1.487876,94,1,1.487876
1.488401,346,1,1.488401
1.489274,358,1,1.489274
1.489787,89,1,1.489787
1.490820,18,1,1.490820
1.492316,219,1,1.492316
1.492467,253,1,1.492467
1.495571,152,1,1.495571
1.496037,295,1,1.496037
2.000604,291,2,2.000604
2.001339,395,2,2.001339
2.001550,195,2,2.001550
2.002595,198,2,2.002595
2.004256,132,2,2.004256
2.004345,304,2,2.004345
2.004466,248,2,2.004466
2.009650,88,2,2.009650
2.010844,230,2,2.010844
2.010987,270,2,2.010987
2.012264,125,2,2.012264
2.012310,75,2,2.012310
2.012377,399,2,2.012377
2.012472,305,2,2.012472
2.012749,97,2,2.012749
2.013261,102,2,2.013261
2.014550,149,2,2.014550
2.014817,287,2,2.014817
2.016233,13,2,2.016233
2.016451,355,2,2.016451
2.018280,387,2,2.018280
2.018783,218,2,2.018783
2.019825,261,2,2.019825
2.021488,169,2,2.021488
2.022830,21,2,2.022830
2.026254,240,2,2.026254
2.027554,310,2,2.027554
2.027983,5,2,2.027983
2.029435,265,2,2.029435
2.032541,368,2,2.032541
2.035205,318,2,2.035205
2.035224,29,2,2.035224
2.036217,87,2,2.036217
2.039485,382,2,2.039485
2.041029,228,2,2.041029
2.042617,285,2,2.042617
2.043266,6,2,2.043266
2.045116,249,2,2.045116
2.046014,4,2,2.046014
2.046947,357,2,2.046947
2.047810,323,2,2.047810
2.048281,252,2,2.048281
2.048747,336,2,2.048747
2.049239,3,2,2.049239
2.049708,135,2,2.049708
2.049979,260,2,2.049979
2.050016,85,2,2.050016
2.053215,171,2,2.053215
2.056743,226,2,2.056743
2.056908,58,2,2.056908
2.058049,170,2,2.058049
2.060460,166,2,2.060460
2.060530,50,2,2.060530
2.061922,266,2,2.061922
2.065926,77,2,2.065926
2.065952,333,2,2.065952
2.066408,60,2,2.066408
2.068626,231,2,2.068626
2.072143,306,2,2.072143
2.072935,180,2,2.072935
2.074134,120,2,2.074134
2.074239,90,2,2.074239
2.074415,76,2,2.074415
2.076814,129,2,2.076814
2.080197,321,2,2.080197
2.084288,106,2,2.084288
2.085050,344,2,2.085050
2.089705,234,2,2.089705
2.092181,189,2,2.092181
2.093776,191,2,2.093776
2.094531,246,2,2.094531
2.096359,326,2,2.096359
2.097011,376,2,2.097011
2.100182,202,2,2.100182
2.100258,334,2,2.100258
2.100759,71,2,2.100759
2.102783,377,2,2.102783
2.105767,244,2,2.105767
2.107764,92,2,2.107764
2.111329,308,2,2.111329
2.112233,398,2,2.112233
2.113542,140,2,2.113542
2.114132,52,2,2.114132
2.115535,370,2,2.115535
2.116539,339,2,2.116539
2.117631,264,2,2.117631
2.118587,7,2,2.118587
2.119022,178,2,2.119022
2.120773,51,2,2.120773
2.122326,19,2,2.122326
2.123267,173,2,2.123267
2.123523,386,2,2.123523
2.127013,331,2,2.127013
2.128617,46,2,2.128617
2.129351,91,2,2.129351
2.130314,232,2,2.130314
2.133348,223,2,2.133348
2.135557,255,2,2.135557
2.136115,227,2,2.136115
2.136342,119,2,2.136342
2.136504,95,2,2.136504
2.137288,303,2,2.137288
2.138887,100,2,2.138887
2.140576,280,2,2.140576
2.142043,391,2,2.142043
2.143560,168,2,2.143560
